time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
3.686,3.39589,-3.20029,2.5235,3.37375,-3.18795,2.54051,3.36912,-3.1848,2.54083,3.37324,-3.18755,2.54017,0.0253506,0.0170109,0.0309332,0.0173321,0.0259836,0.0166679
3.736,3.39537,-3.19977,2.5237,3.3715,-3.18641,2.54051,3.36679,-3.18321,2.54083,3.37095,-3.18598,2.54017,0.0273558,0.0168109,0.0330318,0.0171321,0.0280434,0.0164679
3.767,3.39161,-3.19763,2.5228,3.36921,-3.18483,2.54051,3.36442,-3.18158,2.54083,3.36861,-3.18437,2.54017,0.0257993,0.0177109,0.0315748,0.0180321,0.0265435,0.0173679
3.817,3.38808,-3.19546,2.5228,3.3676,-3.18373,2.54051,3.36276,-3.18044,2.54083,3.36698,-3.18325,2.54017,0.0235929,0.0177109,0.0294376,0.0180321,0.0243763,0.0173679
3.848,3.38766,-3.19504,2.5225,3.36552,-3.18231,2.54051,3.3606,-3.17896,2.54083,3.36486,-3.1818,2.54017,0.0255403,0.0180109,0.0314749,0.0183321,0.0263744,0.0176679
3.878,3.38615,-3.1932,2.5238,3.36328,-3.18077,2.54051,3.35828,-3.17737,2.54083,3.36257,-3.18023,2.54017,0.0260323,0.0167109,0.032054,0.0170321,0.026918,0.0163679
3.939,3.38237,-3.19105,2.5241,3.36147,-3.17953,2.54051,3.3564,-3.17609,2.54083,3.36072,-3.17896,2.54017,0.023867,0.0164109,0.0299725,0.0167321,0.0247976,0.0160679
3.959,3.3816,-3.19077,2.5232,3.35945,-3.17814,2.54051,3.3543,-3.17465,2.54083,3.35866,-3.17754,2.54017,0.025503,0.0173109,0.0317047,0.0176321,0.0264846,0.0169679
3.989,3.37856,-3.18875,2.5186,3.35732,-3.17668,2.54051,3.35209,-3.17313,2.54083,3.35648,-3.17605,2.54017,0.024434,0.0219109,0.0307317,0.0222321,0.0254673,0.0215679
4.027,3.37823,-3.18826,2.5192,3.35716,-3.17657,2.54051,3.35193,-3.17302,2.54083,3.35632,-3.17594,2.54017,0.0240931,0.0213109,0.0303939,0.0216321,0.0251289,0.0209679
4.04,3.37681,-3.18603,2.5252,3.35476,-3.17493,2.54051,3.34944,-3.17131,2.54083,3.35388,-3.17426,2.54017,0.0246844,0.0153109,0.0310733,0.0156321,0.0257718,0.0149679
